[1122/163958.827:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.829:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/164146.772:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/164146.913:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/164146.924:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/164146.955:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/164146.959:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/164146.961:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/164146.964:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/164146.966:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
